Water.Year,QM,WY-QM,wyqm,Cal.Year,Month,QM start day,QM end day,Start.Date,End.Date,Days in QM
1948,1,1948-01,1948-1,1947,10,1,8,10/1/1947,10/8/1947,8
1948,2,1948-02,1948-2,1947,10,9,16,10/9/1947,10/16/1947,8
1948,3,1948-03,1948-3,1947,10,17,24,10/17/1947,10/24/1947,8
1948,4,1948-04,1948-4,1947,10,25,31,10/25/1947,10/31/1947,7
1948,5,1948-05,1948-5,1947,11,1,8,11/1/1947,11/8/1947,8
1948,6,1948-06,1948-6,1947,11,9,16,11/9/1947,11/16/1947,8
1948,7,1948-07,1948-7,1947,11,17,23,11/17/1947,11/23/1947,7
1948,8,1948-08,1948-8,1947,11,24,30,11/24/1947,11/30/1947,7
1948,9,1948-09,1948-9,1947,12,1,8,12/1/1947,12/8/1947,8
1948,10,1948-10,1948-10,1947,12,9,16,12/9/1947,12/16/1947,8
1948,11,1948-11,1948-11,1947,12,17,24,12/17/1947,12/24/1947,8
1948,12,1948-12,1948-12,1947,12,25,31,12/25/1947,12/31/1947,7
1948,13,1948-13,1948-13,1948,1,1,8,1/1/1948,1/8/1948,8
1948,14,1948-14,1948-14,1948,1,9,16,1/9/1948,1/16/1948,8
1948,15,1948-15,1948-15,1948,1,17,24,1/17/1948,1/24/1948,8
1948,16,1948-16,1948-16,1948,1,25,31,1/25/1948,1/31/1948,7
1948,17,1948-17,1948-17,1948,2,1,7,2/1/1948,2/7/1948,7
1948,18,1948-18,1948-18,1948,2,8,14,2/8/1948,2/14/1948,7
1948,19,1948-19,1948-19,1948,2,15,21,2/15/1948,2/21/1948,7
1948,20,1948-20,1948-20,1948,2,22,28,2/22/1948,2/28/1948,7
1948,21,1948-21,1948-21,1948,3,1,8,3/1/1948,3/8/1948,8
1948,22,1948-22,1948-22,1948,3,9,16,3/9/1948,3/16/1948,8
1948,23,1948-23,1948-23,1948,3,17,24,3/17/1948,3/24/1948,8
1948,24,1948-24,1948-24,1948,3,25,31,3/25/1948,3/31/1948,7
1948,25,1948-25,1948-25,1948,4,1,8,4/1/1948,4/8/1948,8
1948,26,1948-26,1948-26,1948,4,9,16,4/9/1948,4/16/1948,8
1948,27,1948-27,1948-27,1948,4,17,23,4/17/1948,4/23/1948,7
1948,28,1948-28,1948-28,1948,4,24,30,4/24/1948,4/30/1948,7
1948,29,1948-29,1948-29,1948,5,1,8,5/1/1948,5/8/1948,8
1948,30,1948-30,1948-30,1948,5,9,16,5/9/1948,5/16/1948,8
1948,31,1948-31,1948-31,1948,5,17,24,5/17/1948,5/24/1948,8
1948,32,1948-32,1948-32,1948,5,25,31,5/25/1948,5/31/1948,7
1948,33,1948-33,1948-33,1948,6,1,8,6/1/1948,6/8/1948,8
1948,34,1948-34,1948-34,1948,6,9,16,6/9/1948,6/16/1948,8
1948,35,1948-35,1948-35,1948,6,17,23,6/17/1948,6/23/1948,7
1948,36,1948-36,1948-36,1948,6,24,30,6/24/1948,6/30/1948,7
1948,37,1948-37,1948-37,1948,7,1,8,7/1/1948,7/8/1948,8
1948,38,1948-38,1948-38,1948,7,9,16,7/9/1948,7/16/1948,8
1948,39,1948-39,1948-39,1948,7,17,24,7/17/1948,7/24/1948,8
1948,40,1948-40,1948-40,1948,7,25,31,7/25/1948,7/31/1948,7
1948,41,1948-41,1948-41,1948,8,1,8,8/1/1948,8/8/1948,8
1948,42,1948-42,1948-42,1948,8,9,16,8/9/1948,8/16/1948,8
1948,43,1948-43,1948-43,1948,8,17,24,8/17/1948,8/24/1948,8
1948,44,1948-44,1948-44,1948,8,25,31,8/25/1948,8/31/1948,7
1948,45,1948-45,1948-45,1948,9,1,8,9/1/1948,9/8/1948,8
1948,46,1948-46,1948-46,1948,9,9,16,9/9/1948,9/16/1948,8
1948,47,1948-47,1948-47,1948,9,17,23,9/17/1948,9/23/1948,7
1948,48,1948-48,1948-48,1948,9,24,30,9/24/1948,9/30/1948,7
1949,1,1949-01,1949-1,1948,10,1,8,10/1/1948,10/8/1948,8
1949,2,1949-02,1949-2,1948,10,9,16,10/9/1948,10/16/1948,8
1949,3,1949-03,1949-3,1948,10,17,24,10/17/1948,10/24/1948,8
1949,4,1949-04,1949-4,1948,10,25,31,10/25/1948,10/31/1948,7
1949,5,1949-05,1949-5,1948,11,1,8,11/1/1948,11/8/1948,8
1949,6,1949-06,1949-6,1948,11,9,16,11/9/1948,11/16/1948,8
1949,7,1949-07,1949-7,1948,11,17,23,11/17/1948,11/23/1948,7
1949,8,1949-08,1949-8,1948,11,24,30,11/24/1948,11/30/1948,7
1949,9,1949-09,1949-9,1948,12,1,8,12/1/1948,12/8/1948,8
1949,10,1949-10,1949-10,1948,12,9,16,12/9/1948,12/16/1948,8
1949,11,1949-11,1949-11,1948,12,17,24,12/17/1948,12/24/1948,8
1949,12,1949-12,1949-12,1948,12,25,31,12/25/1948,12/31/1948,7
1949,13,1949-13,1949-13,1949,1,1,8,1/1/1949,1/8/1949,8
1949,14,1949-14,1949-14,1949,1,9,16,1/9/1949,1/16/1949,8
1949,15,1949-15,1949-15,1949,1,17,24,1/17/1949,1/24/1949,8
1949,16,1949-16,1949-16,1949,1,25,31,1/25/1949,1/31/1949,7
1949,17,1949-17,1949-17,1949,2,1,7,2/1/1949,2/7/1949,7
1949,18,1949-18,1949-18,1949,2,8,14,2/8/1949,2/14/1949,7
1949,19,1949-19,1949-19,1949,2,15,21,2/15/1949,2/21/1949,7
1949,20,1949-20,1949-20,1949,2,22,28,2/22/1949,2/28/1949,7
1949,21,1949-21,1949-21,1949,3,1,8,3/1/1949,3/8/1949,8
1949,22,1949-22,1949-22,1949,3,9,16,3/9/1949,3/16/1949,8
1949,23,1949-23,1949-23,1949,3,17,24,3/17/1949,3/24/1949,8
1949,24,1949-24,1949-24,1949,3,25,31,3/25/1949,3/31/1949,7
1949,25,1949-25,1949-25,1949,4,1,8,4/1/1949,4/8/1949,8
1949,26,1949-26,1949-26,1949,4,9,16,4/9/1949,4/16/1949,8
1949,27,1949-27,1949-27,1949,4,17,23,4/17/1949,4/23/1949,7
1949,28,1949-28,1949-28,1949,4,24,30,4/24/1949,4/30/1949,7
1949,29,1949-29,1949-29,1949,5,1,8,5/1/1949,5/8/1949,8
1949,30,1949-30,1949-30,1949,5,9,16,5/9/1949,5/16/1949,8
1949,31,1949-31,1949-31,1949,5,17,24,5/17/1949,5/24/1949,8
1949,32,1949-32,1949-32,1949,5,25,31,5/25/1949,5/31/1949,7
1949,33,1949-33,1949-33,1949,6,1,8,6/1/1949,6/8/1949,8
1949,34,1949-34,1949-34,1949,6,9,16,6/9/1949,6/16/1949,8
1949,35,1949-35,1949-35,1949,6,17,23,6/17/1949,6/23/1949,7
1949,36,1949-36,1949-36,1949,6,24,30,6/24/1949,6/30/1949,7
1949,37,1949-37,1949-37,1949,7,1,8,7/1/1949,7/8/1949,8
1949,38,1949-38,1949-38,1949,7,9,16,7/9/1949,7/16/1949,8
1949,39,1949-39,1949-39,1949,7,17,24,7/17/1949,7/24/1949,8
1949,40,1949-40,1949-40,1949,7,25,31,7/25/1949,7/31/1949,7
1949,41,1949-41,1949-41,1949,8,1,8,8/1/1949,8/8/1949,8
1949,42,1949-42,1949-42,1949,8,9,16,8/9/1949,8/16/1949,8
1949,43,1949-43,1949-43,1949,8,17,24,8/17/1949,8/24/1949,8
1949,44,1949-44,1949-44,1949,8,25,31,8/25/1949,8/31/1949,7
1949,45,1949-45,1949-45,1949,9,1,8,9/1/1949,9/8/1949,8
1949,46,1949-46,1949-46,1949,9,9,16,9/9/1949,9/16/1949,8
1949,47,1949-47,1949-47,1949,9,17,23,9/17/1949,9/23/1949,7
1949,48,1949-48,1949-48,1949,9,24,30,9/24/1949,9/30/1949,7
1950,1,1950-01,1950-1,1949,10,1,8,10/1/1949,10/8/1949,8
1950,2,1950-02,1950-2,1949,10,9,16,10/9/1949,10/16/1949,8
1950,3,1950-03,1950-3,1949,10,17,24,10/17/1949,10/24/1949,8
1950,4,1950-04,1950-4,1949,10,25,31,10/25/1949,10/31/1949,7
1950,5,1950-05,1950-5,1949,11,1,8,11/1/1949,11/8/1949,8
1950,6,1950-06,1950-6,1949,11,9,16,11/9/1949,11/16/1949,8
1950,7,1950-07,1950-7,1949,11,17,23,11/17/1949,11/23/1949,7
1950,8,1950-08,1950-8,1949,11,24,30,11/24/1949,11/30/1949,7
1950,9,1950-09,1950-9,1949,12,1,8,12/1/1949,12/8/1949,8
1950,10,1950-10,1950-10,1949,12,9,16,12/9/1949,12/16/1949,8
1950,11,1950-11,1950-11,1949,12,17,24,12/17/1949,12/24/1949,8
1950,12,1950-12,1950-12,1949,12,25,31,12/25/1949,12/31/1949,7
1950,13,1950-13,1950-13,1950,1,1,8,1/1/1950,1/8/1950,8
1950,14,1950-14,1950-14,1950,1,9,16,1/9/1950,1/16/1950,8
1950,15,1950-15,1950-15,1950,1,17,24,1/17/1950,1/24/1950,8
1950,16,1950-16,1950-16,1950,1,25,31,1/25/1950,1/31/1950,7
1950,17,1950-17,1950-17,1950,2,1,7,2/1/1950,2/7/1950,7
1950,18,1950-18,1950-18,1950,2,8,14,2/8/1950,2/14/1950,7
1950,19,1950-19,1950-19,1950,2,15,21,2/15/1950,2/21/1950,7
1950,20,1950-20,1950-20,1950,2,22,28,2/22/1950,2/28/1950,7
1950,21,1950-21,1950-21,1950,3,1,8,3/1/1950,3/8/1950,8
1950,22,1950-22,1950-22,1950,3,9,16,3/9/1950,3/16/1950,8
1950,23,1950-23,1950-23,1950,3,17,24,3/17/1950,3/24/1950,8
1950,24,1950-24,1950-24,1950,3,25,31,3/25/1950,3/31/1950,7
1950,25,1950-25,1950-25,1950,4,1,8,4/1/1950,4/8/1950,8
1950,26,1950-26,1950-26,1950,4,9,16,4/9/1950,4/16/1950,8
1950,27,1950-27,1950-27,1950,4,17,23,4/17/1950,4/23/1950,7
1950,28,1950-28,1950-28,1950,4,24,30,4/24/1950,4/30/1950,7
1950,29,1950-29,1950-29,1950,5,1,8,5/1/1950,5/8/1950,8
1950,30,1950-30,1950-30,1950,5,9,16,5/9/1950,5/16/1950,8
1950,31,1950-31,1950-31,1950,5,17,24,5/17/1950,5/24/1950,8
1950,32,1950-32,1950-32,1950,5,25,31,5/25/1950,5/31/1950,7
1950,33,1950-33,1950-33,1950,6,1,8,6/1/1950,6/8/1950,8
1950,34,1950-34,1950-34,1950,6,9,16,6/9/1950,6/16/1950,8
1950,35,1950-35,1950-35,1950,6,17,23,6/17/1950,6/23/1950,7
1950,36,1950-36,1950-36,1950,6,24,30,6/24/1950,6/30/1950,7
1950,37,1950-37,1950-37,1950,7,1,8,7/1/1950,7/8/1950,8
1950,38,1950-38,1950-38,1950,7,9,16,7/9/1950,7/16/1950,8
1950,39,1950-39,1950-39,1950,7,17,24,7/17/1950,7/24/1950,8
1950,40,1950-40,1950-40,1950,7,25,31,7/25/1950,7/31/1950,7
1950,41,1950-41,1950-41,1950,8,1,8,8/1/1950,8/8/1950,8
1950,42,1950-42,1950-42,1950,8,9,16,8/9/1950,8/16/1950,8
1950,43,1950-43,1950-43,1950,8,17,24,8/17/1950,8/24/1950,8
1950,44,1950-44,1950-44,1950,8,25,31,8/25/1950,8/31/1950,7
1950,45,1950-45,1950-45,1950,9,1,8,9/1/1950,9/8/1950,8
1950,46,1950-46,1950-46,1950,9,9,16,9/9/1950,9/16/1950,8
1950,47,1950-47,1950-47,1950,9,17,23,9/17/1950,9/23/1950,7
1950,48,1950-48,1950-48,1950,9,24,30,9/24/1950,9/30/1950,7
1951,1,1951-01,1951-1,1950,10,1,8,10/1/1950,10/8/1950,8
1951,2,1951-02,1951-2,1950,10,9,16,10/9/1950,10/16/1950,8
1951,3,1951-03,1951-3,1950,10,17,24,10/17/1950,10/24/1950,8
1951,4,1951-04,1951-4,1950,10,25,31,10/25/1950,10/31/1950,7
1951,5,1951-05,1951-5,1950,11,1,8,11/1/1950,11/8/1950,8
1951,6,1951-06,1951-6,1950,11,9,16,11/9/1950,11/16/1950,8
1951,7,1951-07,1951-7,1950,11,17,23,11/17/1950,11/23/1950,7
1951,8,1951-08,1951-8,1950,11,24,30,11/24/1950,11/30/1950,7
1951,9,1951-09,1951-9,1950,12,1,8,12/1/1950,12/8/1950,8
1951,10,1951-10,1951-10,1950,12,9,16,12/9/1950,12/16/1950,8
1951,11,1951-11,1951-11,1950,12,17,24,12/17/1950,12/24/1950,8
1951,12,1951-12,1951-12,1950,12,25,31,12/25/1950,12/31/1950,7
1951,13,1951-13,1951-13,1951,1,1,8,1/1/1951,1/8/1951,8
1951,14,1951-14,1951-14,1951,1,9,16,1/9/1951,1/16/1951,8
1951,15,1951-15,1951-15,1951,1,17,24,1/17/1951,1/24/1951,8
1951,16,1951-16,1951-16,1951,1,25,31,1/25/1951,1/31/1951,7
1951,17,1951-17,1951-17,1951,2,1,7,2/1/1951,2/7/1951,7
1951,18,1951-18,1951-18,1951,2,8,14,2/8/1951,2/14/1951,7
1951,19,1951-19,1951-19,1951,2,15,21,2/15/1951,2/21/1951,7
1951,20,1951-20,1951-20,1951,2,22,28,2/22/1951,2/28/1951,7
1951,21,1951-21,1951-21,1951,3,1,8,3/1/1951,3/8/1951,8
1951,22,1951-22,1951-22,1951,3,9,16,3/9/1951,3/16/1951,8
1951,23,1951-23,1951-23,1951,3,17,24,3/17/1951,3/24/1951,8
1951,24,1951-24,1951-24,1951,3,25,31,3/25/1951,3/31/1951,7
1951,25,1951-25,1951-25,1951,4,1,8,4/1/1951,4/8/1951,8
1951,26,1951-26,1951-26,1951,4,9,16,4/9/1951,4/16/1951,8
1951,27,1951-27,1951-27,1951,4,17,23,4/17/1951,4/23/1951,7
1951,28,1951-28,1951-28,1951,4,24,30,4/24/1951,4/30/1951,7
1951,29,1951-29,1951-29,1951,5,1,8,5/1/1951,5/8/1951,8
1951,30,1951-30,1951-30,1951,5,9,16,5/9/1951,5/16/1951,8
1951,31,1951-31,1951-31,1951,5,17,24,5/17/1951,5/24/1951,8
1951,32,1951-32,1951-32,1951,5,25,31,5/25/1951,5/31/1951,7
1951,33,1951-33,1951-33,1951,6,1,8,6/1/1951,6/8/1951,8
1951,34,1951-34,1951-34,1951,6,9,16,6/9/1951,6/16/1951,8
1951,35,1951-35,1951-35,1951,6,17,23,6/17/1951,6/23/1951,7
1951,36,1951-36,1951-36,1951,6,24,30,6/24/1951,6/30/1951,7
1951,37,1951-37,1951-37,1951,7,1,8,7/1/1951,7/8/1951,8
1951,38,1951-38,1951-38,1951,7,9,16,7/9/1951,7/16/1951,8
1951,39,1951-39,1951-39,1951,7,17,24,7/17/1951,7/24/1951,8
1951,40,1951-40,1951-40,1951,7,25,31,7/25/1951,7/31/1951,7
1951,41,1951-41,1951-41,1951,8,1,8,8/1/1951,8/8/1951,8
1951,42,1951-42,1951-42,1951,8,9,16,8/9/1951,8/16/1951,8
1951,43,1951-43,1951-43,1951,8,17,24,8/17/1951,8/24/1951,8
1951,44,1951-44,1951-44,1951,8,25,31,8/25/1951,8/31/1951,7
1951,45,1951-45,1951-45,1951,9,1,8,9/1/1951,9/8/1951,8
1951,46,1951-46,1951-46,1951,9,9,16,9/9/1951,9/16/1951,8
1951,47,1951-47,1951-47,1951,9,17,23,9/17/1951,9/23/1951,7
1951,48,1951-48,1951-48,1951,9,24,30,9/24/1951,9/30/1951,7
1952,1,1952-01,1952-1,1951,10,1,8,10/1/1951,10/8/1951,8
1952,2,1952-02,1952-2,1951,10,9,16,10/9/1951,10/16/1951,8
1952,3,1952-03,1952-3,1951,10,17,24,10/17/1951,10/24/1951,8
1952,4,1952-04,1952-4,1951,10,25,31,10/25/1951,10/31/1951,7
1952,5,1952-05,1952-5,1951,11,1,8,11/1/1951,11/8/1951,8
1952,6,1952-06,1952-6,1951,11,9,16,11/9/1951,11/16/1951,8
1952,7,1952-07,1952-7,1951,11,17,23,11/17/1951,11/23/1951,7
1952,8,1952-08,1952-8,1951,11,24,30,11/24/1951,11/30/1951,7
1952,9,1952-09,1952-9,1951,12,1,8,12/1/1951,12/8/1951,8
1952,10,1952-10,1952-10,1951,12,9,16,12/9/1951,12/16/1951,8
1952,11,1952-11,1952-11,1951,12,17,24,12/17/1951,12/24/1951,8
1952,12,1952-12,1952-12,1951,12,25,31,12/25/1951,12/31/1951,7
1952,13,1952-13,1952-13,1952,1,1,8,1/1/1952,1/8/1952,8
1952,14,1952-14,1952-14,1952,1,9,16,1/9/1952,1/16/1952,8
1952,15,1952-15,1952-15,1952,1,17,24,1/17/1952,1/24/1952,8
1952,16,1952-16,1952-16,1952,1,25,31,1/25/1952,1/31/1952,7
1952,17,1952-17,1952-17,1952,2,1,7,2/1/1952,2/7/1952,7
1952,18,1952-18,1952-18,1952,2,8,14,2/8/1952,2/14/1952,7
1952,19,1952-19,1952-19,1952,2,15,21,2/15/1952,2/21/1952,7
1952,20,1952-20,1952-20,1952,2,22,28,2/22/1952,2/28/1952,7
1952,21,1952-21,1952-21,1952,3,1,8,3/1/1952,3/8/1952,8
1952,22,1952-22,1952-22,1952,3,9,16,3/9/1952,3/16/1952,8
1952,23,1952-23,1952-23,1952,3,17,24,3/17/1952,3/24/1952,8
1952,24,1952-24,1952-24,1952,3,25,31,3/25/1952,3/31/1952,7
1952,25,1952-25,1952-25,1952,4,1,8,4/1/1952,4/8/1952,8
1952,26,1952-26,1952-26,1952,4,9,16,4/9/1952,4/16/1952,8
1952,27,1952-27,1952-27,1952,4,17,23,4/17/1952,4/23/1952,7
1952,28,1952-28,1952-28,1952,4,24,30,4/24/1952,4/30/1952,7
1952,29,1952-29,1952-29,1952,5,1,8,5/1/1952,5/8/1952,8
1952,30,1952-30,1952-30,1952,5,9,16,5/9/1952,5/16/1952,8
1952,31,1952-31,1952-31,1952,5,17,24,5/17/1952,5/24/1952,8
1952,32,1952-32,1952-32,1952,5,25,31,5/25/1952,5/31/1952,7
1952,33,1952-33,1952-33,1952,6,1,8,6/1/1952,6/8/1952,8
1952,34,1952-34,1952-34,1952,6,9,16,6/9/1952,6/16/1952,8
1952,35,1952-35,1952-35,1952,6,17,23,6/17/1952,6/23/1952,7
